id;control;produto;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
11;VINHO ESPECIAl;VINHO ESPECIAl;7.325.789,00;7.824.931,00;8.737.605,00;9.693.953,00;7.638.484,00;10.260.445,00;12.392.725,00;11.569.676,00;10.247.572,00;13.790.557,00;11.056.774,00;6.907.060,00;5.011.009,00;5.393.631,00;5.535.657,00;4.766.741,00;4.636.751,00;2.969.853,00;2.328.150,00;1.788.772,00;1.371.223,00;1.354.861,00;882.564,00;1.849.251,00;1.423.645,00;1.396.441,00;1.261.662,00;790.617,00;194.075,00;234.696,00;249.345,00;492.272,00;270.364,00;205.269,00;66.989,00;285.994,00;172.176,00;106.333,00;65,00;113,00;293,00;699,00;239,00;2.257,00;7.231,00;593,00;331,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
12;ve_Tinto;  Tinto;4.730.346,00;4.802.828,00;4.347.706,00;5.017.487,00;3.763.509,00;4.815.235,00;4.819.463,00;3.959.050,00;4.083.073,00;7.004.780,00;4.608.059,00;1.906.240,00;939.619,00;1.034.452,00;1.043.073,00;863.932,00;749.197,00;372.184,00;525.229,00;288.905,00;266.887,00;326.807,00;217.945,00;542.146,00;589.529,00;628.481,00;264.304,00;136.027,00;50.870,00;56.589,00;177.872,00;281.260,00;258.412,00;87.544,00;51.824,00;278.339,00;171.361,00;106.333,00;65,00;113,00;293,00;699,00;239,00;2.257,00;7.231,00;593,00;331,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13;ve_Rosado;  Rosado;1.229.564,00;1.662.821,00;1.901.801,00;2.062.011,00;1.989.341,00;2.885.972,00;4.231.765,00;4.034.615,00;4.177.476,00;5.067.851,00;4.312.513,00;3.388.872,00;2.418.770,00;2.735.222,00;2.308.400,00;2.145.100,00;2.057.888,00;1.122.648,00;887.025,00;876.167,00;595.973,00;487.553,00;304.897,00;243.582,00;104.886,00;86.933,00;70.536,00;145.144,00;2.074,00;112.392,00;0,00;12.833,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14;ve_Branco;  Branco;1.365.879,00;1.359.282,00;2.488.098,00;2.614.455,00;1.885.634,00;2.559.238,00;3.341.497,00;3.576.011,00;1.987.023,00;1.717.926,00;2.136.202,00;1.611.948,00;1.652.620,00;1.623.957,00;2.184.184,00;1.757.709,00;1.829.666,00;1.475.021,00;915.896,00;623.700,00;508.363,00;540.501,00;359.722,00;1.063.523,00;729.230,00;681.027,00;926.822,00;509.446,00;141.131,00;65.715,00;71.473,00;198.179,00;11.952,00;117.725,00;15.165,00;7.655,00;815,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
15;ESPUMANTES ,ESPUMANTES ,2.743.678,00;2.907.289,00;3.523.335,00;3.625.230,00;3.442.734,00;3.691.348,00;4.204.666,00;4.150.746,00;3.684.240,00;3.246.929,00;3.257.451,00;2.301.421,00;2.432.386,00;2.601.590,00;2.778.815,00;3.238.436,00;4.058.335,00;3.006.097,00;2.845.663,00;3.766.581,00;2.720.096,00;2.442.072,00;1.846.809,00;2.183.871,00;2.661.540,00;2.276.321,00;2.154.497,00;3.054.624,00;3.253.174,00;5.606.536,00;4.330.795,00;4.494.015,00;4.267.544,00;4.798.284,00;5.485.441,00;6.776.672,00;7.728.838,00;8.596.406,00;9.539.610,00;11.242.890,00;12.647.906,00;13.305.275,00;14.889.147,00;15.978.504,00;17.191.075,00;18.897.144,00;16.945.710,00;17.583.283,00;18.218.375,00;22.759.859,00;22.610.762,00;31.242.697,00;29.525.942,00;29.381.635,00
16;es_Espumante_Moscatel;  Espumante  Moscatel;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.222,00;29.712,00;50.670,00;194.723,00;474.162,00;525.996,00;594.044,00;673.332,00;1.071.448,00;1.320.959,00;1.585.203,00;1.905.395,00;2.500.230,00;2.946.179,00;2.996.441,00;3.610.289,00;3.783.531,00;4.588.465,00;5.010.704,00;4.507.467,00;5.561.181,00;6.526.075,00;8.997.187,00;9.298.571,00;12.240.059,00;12.204.315,00;9.771.698,00
17;es_Espumante;  Espumante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.035.402,00;3.223.462,00;5.555.866,00;4.136.072,00;4.019.853,00;3.741.548,00;4.204.240,00;4.812.109,00;5.705.224,00;6.407.879,00;7.011.203,00;7.634.215,00;8.742.660,00;9.701.727,00;10.308.834,00;11.278.858,00;12.194.973,00;12.602.610,00;13.886.440,00;12.438.243,00;12.022.102,00;11.692.300,00;13.762.361,00;13.311.450,00;19.001.999,00;17.321.031,00;19.609.379,00
18;es_Espumante Organico;  Espumante Organico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;311,00;742,00;639,00;597,00;558,00
19;SUCO DE UVAs;SUCO DE UVAs;2.626.855,00;2.745.249,00;4.069.351,00;5.668.991,00;4.673.891,00;5.802.187,00;6.433.821,00;6.814.893,00;6.963.440,00;6.096.784,00;5.837.620,00;3.994.038,00;4.081.256,00;4.625.317,00;6.167.053,00;4.711.949,00;5.767.993,00;4.932.369,00;4.191.947,00;4.642.831,00;5.431.892,00;7.630.442,00;5.699.977,00;7.605.488,00;6.504.949,00;4.865.675,00;4.495.950,00;4.996.959,00;9.025.797,00;7.778.310,00;6.847.466,00;11.498.893,00;9.140.897,00;7.496.195,00;8.805.190,00;14.675.316,00;15.640.857,00;18.514.411,00;21.568.032,00;29.131.455,00;35.164.681,00;45.222.136,00;53.832.204,00;75.973.297,00;88.013.377,00;115.288.072,00;92.290.851,00;107.243.326,00;140.472.108,00;147.907.617,00;144.889.668,00;147.753.321,00;157.125.036,00;166.708.720,00
20;su_Suco_Natural;  Suco Natural Integral;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;131.628.685,00;114.453.657,00;115.173.833,00;115.394.795,00;129.419.407,00
21;su_Suco_Adocado;  Suco Adocado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;128.599,00
22;su_Suco_Reprocessado;  Suco Reprocessado/reconstituido;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.759.932,00;22.066.742,00;26.136.089,00;35.139.154,00;34.402.925,00
23;su_Suco_Organico;  Suco Organico;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;416.849,00;553.391,00;902.299,00;1.002.685,00;932.154,00
